root@comp3134-Winter2023:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
00:57:03.794980 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 3840160033:3840160141, ack 3247800208, win 1573, length 108
00:57:03.815930 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 3052:3088, ack 1, win 1573, length 36
00:57:03.815971 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 3088:3284, ack 1, win 1573, length 196
00:57:03.816008 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 3284:3320, ack 1, win 1573, length 36
00:57:03.824033 IP cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719 > comp3134-Winter2023.ssh: Flags [.], ack 1008, win 8280, length 0
00:57:03.824105 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 3320:4480, ack 1, win 1573, length 1160
00:57:03.824399 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 4480:4668, ack 1, win 1573, length 188
00:57:03.824451 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 4668:4704, ack 1, win 1573, length 36
00:57:03.824499 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 4704:4908, ack 1, win 1573, length 204
00:57:03.824540 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 4908:4944, ack 1, win 1573, length 36
00:57:03.824642 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 4944:5140, ack 1, win 1573, length 196
00:57:03.824682 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 5140:5176, ack 1, win 1573, length 36
00:57:03.824765 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 5176:5372, ack 1, win 1573, length 196
00:57:03.824802 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 5372:5408, ack 1, win 1573, length 36
00:57:03.824847 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 5408:5604, ack 1, win 1573, length 196
00:57:03.824884 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 5604:5640, ack 1, win 1573, length 36
00:57:03.824928 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 5640:5836, ack 1, win 1573, length 196
00:57:03.834812 IP cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719 > comp3134-Winter2023.ssh: Flags [.], ack 5176, win 8280, length 0
00:57:03.834882 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 5836:7496, ack 1, win 1573, length 1660
00:57:03.835046 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 7496:7684, ack 1, win 1573, length 188
00:57:03.835111 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 7684:7720, ack 1, win 1573, length 36
00:57:03.835163 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 7720:7924, ack 1, win 1573, length 204
00:57:03.835199 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 7924:7960, ack 1, win 1573, length 36
00:57:03.835243 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 7960:8156, ack 1, win 1573, length 196
00:57:03.835276 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 8156:8192, ack 1, win 1573, length 36
00:57:03.835318 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 8192:8388, ack 1, win 1573, length 196
00:57:03.835351 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 8388:8424, ack 1, win 1573, length 36
00:57:03.835392 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 8424:8620, ack 1, win 1573, length 196
00:57:03.835425 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 8620:8656, ack 1, win 1573, length 36
00:57:03.835466 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 8656:8852, ack 1, win 1573, length 196
00:57:03.835528 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 8852:9084, ack 1, win 1573, length 232
00:57:03.835583 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 9084:9120, ack 1, win 1573, length 36
00:57:03.835612 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 9120:9316, ack 1, win 1573, length 196
00:57:03.835649 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 9316:9352, ack 1, win 1573, length 36
00:57:03.835690 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 9352:9548, ack 1, win 1573, length 196
00:57:03.835725 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 9548:9584, ack 1, win 1573, length 36
00:57:03.835771 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 9584:9780, ack 1, win 1573, length 196
00:57:03.835806 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 9780:9816, ack 1, win 1573, length 36
00:57:03.835848 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 9816:10012, ack 1, win 1573, length 196
00:57:03.835883 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 10012:10048, ack 1, win 1573, length 36
00:57:03.835923 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 10048:10244, ack 1, win 1573, length 196
00:57:03.835962 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 10244:10280, ack 1, win 1573, length 36
00:57:03.836001 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 10280:10476, ack 1, win 1573, length 196
00:57:03.836036 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 10476:10512, ack 1, win 1573, length 36
00:57:03.836090 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 10512:10708, ack 1, win 1573, length 196
00:57:03.836126 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 10708:10744, ack 1, win 1573, length 36
00:57:03.836294 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 10744:10940, ack 1, win 1573, length 196
00:57:03.845602 IP cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719 > comp3134-Winter2023.ssh: Flags [.], ack 5836, win 8278, length 0
00:57:03.845672 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 10940:13860, ack 1, win 1573, length 2920
00:57:03.845781 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 13860:14528, ack 1, win 1573, length 668
00:57:03.845877 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 14528:14716, ack 1, win 1573, length 188
00:57:03.845931 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 14716:14752, ack 1, win 1573, length 36
00:57:03.845983 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 14752:14956, ack 1, win 1573, length 204
00:57:03.846097 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 14956:14992, ack 1, win 1573, length 36
00:57:03.846147 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 14992:15196, ack 1, win 1573, length 204
00:57:03.846185 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 15196:15232, ack 1, win 1573, length 36
00:57:03.846231 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 15232:15436, ack 1, win 1573, length 204
00:57:03.856391 IP cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719 > comp3134-Winter2023.ssh: Flags [.], ack 10940, win 8275, length 0
00:57:03.856475 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 15436:16912, ack 1, win 1573, length 1476
00:57:03.856658 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 16912:17100, ack 1, win 1573, length 188
00:57:03.856732 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 17100:17136, ack 1, win 1573, length 36
00:57:03.856788 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 17136:17340, ack 1, win 1573, length 204
00:57:03.856828 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 17340:17376, ack 1, win 1573, length 36
00:57:03.856877 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 17376:17580, ack 1, win 1573, length 204
00:57:03.856913 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 17580:17616, ack 1, win 1573, length 36
00:57:03.856958 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 17616:17820, ack 1, win 1573, length 204
00:57:03.856995 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 17820:17856, ack 1, win 1573, length 36
00:57:03.857042 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 17856:18060, ack 1, win 1573, length 204
00:57:03.857078 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 18060:18096, ack 1, win 1573, length 36
00:57:03.857124 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 18096:18300, ack 1, win 1573, length 204
00:57:03.857159 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 18300:18336, ack 1, win 1573, length 36
00:57:03.857203 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 18336:18540, ack 1, win 1573, length 204
00:57:03.857242 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 18540:18576, ack 1, win 1573, length 36
00:57:03.857286 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 18576:18780, ack 1, win 1573, length 204
00:57:03.857325 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 18780:18816, ack 1, win 1573, length 36
00:57:03.857370 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 18816:19020, ack 1, win 1573, length 204
00:57:03.857407 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 19020:19056, ack 1, win 1573, length 36
00:57:03.857449 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 19056:19260, ack 1, win 1573, length 204
00:57:03.857486 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 19260:19296, ack 1, win 1573, length 36
00:57:03.857529 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 19296:19500, ack 1, win 1573, length 204
00:57:03.857594 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 19500:19740, ack 1, win 1573, length 240
00:57:03.857938 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 19740:21420, ack 1, win 1573, length 1680
00:57:03.857984 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 21420:21456, ack 1, win 1573, length 36
00:57:03.858024 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 21456:21660, ack 1, win 1573, length 204
00:57:03.858059 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 21660:21696, ack 1, win 1573, length 36
00:57:03.858101 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 21696:21900, ack 1, win 1573, length 204
00:57:03.858146 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 21900:21936, ack 1, win 1573, length 36
00:57:03.858190 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 21936:22140, ack 1, win 1573, length 204
00:57:03.858228 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 22140:22176, ack 1, win 1573, length 36
00:57:03.858283 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 22176:22380, ack 1, win 1573, length 204
00:57:03.858498 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 22380:23376, ack 1, win 1573, length 996
00:57:03.858537 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 23376:23580, ack 1, win 1573, length 204
00:57:03.858572 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 23580:23616, ack 1, win 1573, length 36
00:57:03.858614 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 23616:23820, ack 1, win 1573, length 204
00:57:03.858651 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 23820:23856, ack 1, win 1573, length 36
00:57:03.858693 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 23856:24060, ack 1, win 1573, length 204
00:57:03.858729 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 24060:24096, ack 1, win 1573, length 36
00:57:03.858802 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 24096:24628, ack 1, win 1573, length 532
00:57:03.858899 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 24628:25496, ack 1, win 1573, length 868
00:57:03.858986 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 25496:26196, ack 1, win 1573, length 700
00:57:03.859048 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 26196:26400, ack 1, win 1573, length 204
00:57:03.859104 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 26400:26604, ack 1, win 1573, length 204
00:57:03.859176 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 26604:26808, ack 1, win 1573, length 204
00:57:03.859233 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 26808:27012, ack 1, win 1573, length 204
00:57:03.859285 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 27012:27216, ack 1, win 1573, length 204
00:57:03.859336 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 27216:27420, ack 1, win 1573, length 204
00:57:03.859386 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 27420:27624, ack 1, win 1573, length 204
00:57:03.859437 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 27624:27828, ack 1, win 1573, length 204
00:57:03.859488 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 27828:28032, ack 1, win 1573, length 204
00:57:03.859539 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 28032:28236, ack 1, win 1573, length 204
00:57:03.859589 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 28236:28440, ack 1, win 1573, length 204
00:57:03.859640 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 28440:28644, ack 1, win 1573, length 204
00:57:03.859693 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 28644:28848, ack 1, win 1573, length 204
00:57:03.859744 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 28848:29052, ack 1, win 1573, length 204
00:57:03.859795 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 29052:29256, ack 1, win 1573, length 204
00:57:03.859845 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 29256:29460, ack 1, win 1573, length 204
00:57:03.867242 IP cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719 > comp3134-Winter2023.ssh: Flags [.], ack 16912, win 8280, length 0
00:57:03.867317 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 29460:29664, ack 1, win 1573, length 204
00:57:03.867536 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 29664:30020, ack 1, win 1573, length 356
00:57:03.867639 IP comp3134-Winter2023.ssh > cpee0dbd1ce3c00-cme0dbd1ce3bfe.cpe.net.cable.rogers.com.62719: Flags [P.], seq 30020:30224, ack 1, win 1573, length 204
