root@comp3134-Winter2023:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
00:56:01.986095 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 3837731557:3837731593, ack 3247797168, win 1573, length 36
00:56:02.012585 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 2520:2940, ack 1, win 1573, length 420
00:56:02.012655 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 2940:3096, ack 1, win 1573, length 156
00:56:02.012693 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 3096:3132, ack 1, win 1573, length 36
00:56:02.012759 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 3132:3288, ack 1, win 1573, length 156
00:56:02.012795 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 3288:3324, ack 1, win 1573, length 36
00:56:02.012839 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 3324:3472, ack 1, win 1573, length 148
00:56:02.012874 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 3472:3508, ack 1, win 1573, length 36
00:56:02.012910 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 3508:3664, ack 1, win 1573, length 156
00:56:02.012950 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 3664:3700, ack 1, win 1573, length 36
00:56:02.012974 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 3700:3848, ack 1, win 1573, length 148
00:56:02.013009 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 3848:3884, ack 1, win 1573, length 36
00:56:02.013052 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 3884:4040, ack 1, win 1573, length 156
00:56:02.013087 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 4040:4076, ack 1, win 1573, length 36
00:56:02.013128 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 4076:4224, ack 1, win 1573, length 148
00:56:02.013162 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 4224:4260, ack 1, win 1573, length 36
00:56:02.013202 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 4260:4416, ack 1, win 1573, length 156
00:56:02.013235 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 4416:4452, ack 1, win 1573, length 36
00:56:02.030712 IP 99.228.39.210.62719 > 143.110.214.206.22: Flags [.], ack 2520, win 8280, length 0
00:56:02.030780 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 4452:6140, ack 1, win 1573, length 1688
00:56:02.030979 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 6140:6280, ack 1, win 1573, length 140
00:56:02.031044 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 6280:6316, ack 1, win 1573, length 36
00:56:02.031285 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 6316:6472, ack 1, win 1573, length 156
00:56:02.031460 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 6472:6664, ack 1, win 1573, length 192
00:56:02.042583 IP 99.228.39.210.62719 > 143.110.214.206.22: Flags [.], ack 4452, win 8280, length 0
00:56:02.042661 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 6664:7268, ack 1, win 1573, length 604
00:56:02.042912 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 7268:7408, ack 1, win 1573, length 140
00:56:02.043021 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 7408:7444, ack 1, win 1573, length 36
00:56:02.043117 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 7444:7600, ack 1, win 1573, length 156
00:56:02.043200 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 7600:7636, ack 1, win 1573, length 36
00:56:02.043285 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 7636:7792, ack 1, win 1573, length 156
00:56:02.043348 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 7792:7828, ack 1, win 1573, length 36
00:56:02.043373 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 7828:7976, ack 1, win 1573, length 148
00:56:02.043435 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 7976:8012, ack 1, win 1573, length 36
00:56:02.043463 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 8012:8168, ack 1, win 1573, length 156
00:56:02.043510 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 8168:8204, ack 1, win 1573, length 36
00:56:02.043575 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 8204:8352, ack 1, win 1573, length 148
00:56:02.043668 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 8352:8580, ack 1, win 1573, length 228
00:56:02.043709 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 8580:8728, ack 1, win 1573, length 148
00:56:02.043755 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 8728:8764, ack 1, win 1573, length 36
00:56:02.043793 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 8764:8920, ack 1, win 1573, length 156
00:56:02.043838 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 8920:8956, ack 1, win 1573, length 36
00:56:02.043898 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 8956:9104, ack 1, win 1573, length 148
00:56:02.043942 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 9104:9140, ack 1, win 1573, length 36
00:56:02.043986 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 9140:9296, ack 1, win 1573, length 156
00:56:02.044022 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 9296:9332, ack 1, win 1573, length 36
00:56:02.044064 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 9332:9480, ack 1, win 1573, length 148
00:56:02.044126 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 9480:9672, ack 1, win 1573, length 192
00:56:02.044354 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 9672:9708, ack 1, win 1573, length 36
00:56:02.044428 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 9708:9864, ack 1, win 1573, length 156
00:56:02.044486 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 9864:9900, ack 1, win 1573, length 36
00:56:02.044508 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 9900:10056, ack 1, win 1573, length 156
00:56:02.044555 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 10056:10092, ack 1, win 1573, length 36
00:56:02.044582 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 10092:10240, ack 1, win 1573, length 148
00:56:02.044618 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 10240:10276, ack 1, win 1573, length 36
00:56:02.044659 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 10276:10432, ack 1, win 1573, length 156
00:56:02.044742 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 10432:10616, ack 1, win 1573, length 184
00:56:02.044907 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 10616:11184, ack 1, win 1573, length 568
00:56:02.044954 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 11184:11220, ack 1, win 1573, length 36
00:56:02.055441 IP 99.228.39.210.62719 > 143.110.214.206.22: Flags [.], ack 6664, win 8280, length 0
00:56:02.055519 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 11220:13884, ack 1, win 1573, length 2664
00:56:02.055704 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 13884:14024, ack 1, win 1573, length 140
00:56:02.055787 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 14024:14216, ack 1, win 1573, length 192
00:56:02.056468 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 14216:14444, ack 1, win 1573, length 228
00:56:02.056536 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 14444:14600, ack 1, win 1573, length 156
00:56:02.056654 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 14600:14636, ack 1, win 1573, length 36
00:56:02.056796 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 14636:14792, ack 1, win 1573, length 156
00:56:02.056885 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 14792:14828, ack 1, win 1573, length 36
00:56:02.056933 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 14828:14984, ack 1, win 1573, length 156
00:56:02.056987 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 14984:15020, ack 1, win 1573, length 36
00:56:02.057024 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 15020:15176, ack 1, win 1573, length 156
00:56:02.063124 IP 99.228.39.210.62719 > 143.110.214.206.22: Flags [.], ack 9672, win 8280, length 0
00:56:02.063214 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 15176:16172, ack 1, win 1573, length 996
00:56:02.063544 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 16172:16540, ack 1, win 1573, length 368
00:56:02.063610 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 16540:16696, ack 1, win 1573, length 156
00:56:02.063647 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 16696:16732, ack 1, win 1573, length 36
00:56:02.063668 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 16732:16888, ack 1, win 1573, length 156
00:56:02.063708 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 16888:16924, ack 1, win 1573, length 36
00:56:02.063755 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 16924:17080, ack 1, win 1573, length 156
00:56:02.063792 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 17080:17116, ack 1, win 1573, length 36
00:56:02.063826 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 17116:17272, ack 1, win 1573, length 156
00:56:02.063859 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 17272:17308, ack 1, win 1573, length 36
00:56:02.063896 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 17308:17464, ack 1, win 1573, length 156
00:56:02.063929 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 17464:17500, ack 1, win 1573, length 36
00:56:02.063965 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 17500:17656, ack 1, win 1573, length 156
00:56:02.064004 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 17656:17692, ack 1, win 1573, length 36
00:56:02.064037 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 17692:17848, ack 1, win 1573, length 156
00:56:02.064073 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 17848:17884, ack 1, win 1573, length 36
00:56:02.064107 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 17884:18040, ack 1, win 1573, length 156
00:56:02.064141 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 18040:18076, ack 1, win 1573, length 36
00:56:02.064338 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 18076:18232, ack 1, win 1573, length 156
00:56:02.064395 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 18232:18424, ack 1, win 1573, length 192
00:56:02.064457 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 18424:18616, ack 1, win 1573, length 192
00:56:02.064494 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 18616:18652, ack 1, win 1573, length 36
00:56:02.064512 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 18652:18808, ack 1, win 1573, length 156
00:56:02.064561 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 18808:18844, ack 1, win 1573, length 36
00:56:02.064587 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 18844:19000, ack 1, win 1573, length 156
00:56:02.064627 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 19000:19036, ack 1, win 1573, length 36
00:56:02.064658 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 19036:19192, ack 1, win 1573, length 156
00:56:02.064692 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 19192:19228, ack 1, win 1573, length 36
00:56:02.064752 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 19228:19384, ack 1, win 1573, length 156
00:56:02.064784 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 19384:19420, ack 1, win 1573, length 36
00:56:02.064819 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 19420:19576, ack 1, win 1573, length 156
00:56:02.064854 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 19576:19612, ack 1, win 1573, length 36
00:56:02.064891 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 19612:19768, ack 1, win 1573, length 156
00:56:02.064923 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 19768:19804, ack 1, win 1573, length 36
00:56:02.064959 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 19804:19960, ack 1, win 1573, length 156
00:56:02.065018 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 19960:20152, ack 1, win 1573, length 192
00:56:02.065119 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 20152:20548, ack 1, win 1573, length 396
00:56:02.065188 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 20548:20944, ack 1, win 1573, length 396
00:56:02.065216 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 20944:21460, ack 1, win 1573, length 516
00:56:02.065269 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 21460:21736, ack 1, win 1573, length 276
00:56:02.065337 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 21736:22244, ack 1, win 1573, length 508
00:56:02.066519 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 22244:22916, ack 1, win 1573, length 672
00:56:02.066758 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 22916:23072, ack 1, win 1573, length 156
00:56:02.066822 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 23072:23264, ack 1, win 1573, length 192
00:56:02.067026 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 23264:23492, ack 1, win 1573, length 228
00:56:02.067232 IP 143.110.214.206.22 > 99.228.39.210.62719: Flags [P.], seq 23492:23648, ack 1, win 1573, length 156
^C
131 packets captured
136 packets received by filter
0 packets dropped by kernel
